cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,valid_pixel_count
UC_17216_2523,11.261280111679955,77.32922544521533,44.812982660000046,53.580203960000006,0.3383913338184356,0.0674043670296669,25.49019607843137
UC_17217_2523,11.261280111705362,77.3337170216139,44.31053372000002,52.73937104000004,0.3880705237388611,0.0422613769769668,25.780392156862742
UC_17218_2523,11.26128011171859,77.33820859809474,45.28979644999998,51.90879217999998,0.401823878288269,0.0216550305485725,26.87058823529412
UC_17219_2523,11.261280111680056,77.34270017441474,46.609152170000016,51.97715258000005,0.380553275346756,0.0340266562998294,28.031372549019608
UC_17220_2523,11.261280111671155,77.34719175094301,45.60425429000003,52.75987916,0.3289447426795959,0.0556364133954048,29.121568627450984
UC_17221_2523,11.26128011169634,77.35168332733527,46.59377108000001,54.60902798000001,0.3220183253288269,0.0802199319005012,27.850980392156863
UC_17222_2523,11.261280111671978,77.35617490377601,46.617697220000025,52.77355124000002,0.3721177279949188,0.0430717431008815,26.180392156862748
UC_17223_2523,11.261280111642108,77.36066648008652,41.736764660000006,50.39119130000006,0.4046555757522583,-0.0257437862455844,26.47058823529412
UC_17224_2523,11.26128011164853,77.36515805659731,42.51607322000001,49.84089008000001,0.387732446193695,-0.0468482933938503,27.27058823529412
UC_17225_2523,11.261280111649446,77.36964963302401,44.21824718000005,50.24079842000003,0.4215690493583679,-0.0280648227781057,26.180392156862748
UC_17089_2524,11.265685177321355,76.75879523975478,31.68778586000002,34.921232780000025,0.6943262219429016,-0.1967573761940002,20.22745098039216
UC_17090_2524,11.265685177272166,76.76328681619198,32.84649464000006,36.42174355999998,0.6568064093589783,-0.1784557551145553,20.588235294117645
UC_17091_2524,11.2656851772485,76.76777839265733,32.71319186000005,36.343129100000056,0.7619764804840088,-0.2705386579036712,23.478431372549014
UC_17092_2524,11.26568517725035,76.77226996904578,32.90460098,35.84409818000006,0.7606250643730164,-0.2696273922920227,24.768627450980397
UC_17093_2524,11.265685177277724,76.77676154553177,33.171206540000014,36.22691642000001,0.7039008140563965,-0.1973987966775894,25.74901960784313
UC_17094_2524,11.26568517733294,76.78125312188943,33.0447398,36.32603900000004,0.6581092476844788,-0.1729817241430282,25.12941176470588
UC_17095_2524,11.265685177334689,76.78574469831935,33.38483279000002,37.474493720000055,0.661212682723999,-0.1647737771272659,27.760784313725487
UC_17096_2524,11.2656851773271,76.79023627477079,34.16072333,38.062393160000056,0.7026594281196594,-0.1986721456050872,27.45098039215686
UC_17097_2524,11.265685177310178,76.79472785114869,34.36922255000002,37.54627214000004,0.7065733671188354,-0.1858604848384857,27.45098039215686
UC_17098_2524,11.265685177283922,76.79921942756981,34.14876026000002,37.983778700000016,0.7197805047035217,-0.2141784578561782,27.501960784313724
UC_17099_2524,11.265685177294776,76.80371100410032,34.94857694000001,38.592186260000005,0.6947610378265381,-0.1896072775125503,27.141176470588235
UC_17100_2524,11.265685177298614,76.80820258038149,35.29721498000001,38.769923300000016,0.675132691860199,-0.1661455333232879,26.831372549019605
UC_17101_2524,11.265685177295437,76.81269415685786,35.05624457000002,39.21426589999999,0.7008525729179382,-0.2056133300065994,27.141176470588235
