cell_id,latitude,longitude,lst_median_c,lst_p90_c,ndvi_median,ndbi_median,baseline_heat_risk_score,heat_risk_class,recommendation_1,recommendation_1_score,recommendation_1_priority,recommendation_1_reason,recommendation_2,recommendation_2_score,recommendation_2_priority,recommendation_2_reason,recommendation_3,recommendation_3_score,recommendation_3_priority,recommendation_3_reason
UC_17146_2465,11.005671729521552,77.01481509575414,41.00189036,45.99219956000002,0.3369588553905487,-0.0365797244012355,65.06127634129678,Medium,Green Corridors / Connected Vegetation,9.02,Low,NDVI 0.337 and baseline score 65.1 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,7.22,Low,"Vegetation is relatively low (NDVI 0.337), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.037; reflective roofs are a lower-priority option here.
UC_17147_2465,11.005671729558294,77.01930667222409,42.28364786000003,47.25003092000003,0.3299934864044189,-3.873522655339912e-05,69.16260990496706,High,Green Corridors / Connected Vegetation,13.42,Low,Connect vegetation where heat exposure (LST 42.28 °C) and vegetation level (NDVI 0.330) indicate cooling need.,Tree / Vegetation Cover,12.17,Low,High heat exposure (median LST 42.28 °C) combines with low vegetation (NDVI 0.330).,Shaded Public / Pedestrian Areas,7.18,Low,Heat exposure is elevated (median LST 42.28 °C; baseline score 69.2).
UC_17148_2465,11.005671729546634,77.02379824863634,41.80854308000005,46.750999999999976,0.3535724580287933,-0.0199527237564325,66.88905462947228,Medium,Green Corridors / Connected Vegetation,7.1,Low,NDVI 0.354 and baseline score 66.9 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,5.68,Low,"Vegetation is relatively low (NDVI 0.354), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.020; reflective roofs are a lower-priority option here.
UC_17149_2465,11.005671729526108,77.02828982507727,43.82004784999998,48.14555216000002,0.2542947828769684,0.0490809753537178,75.81322197294776,High,Green Corridors / Connected Vegetation,37.11,Medium,Connect vegetation where heat exposure (LST 43.82 °C) and vegetation level (NDVI 0.254) indicate cooling need.,Tree / Vegetation Cover,37.09,Medium,High heat exposure (median LST 43.82 °C) combines with low vegetation (NDVI 0.254).,Shaded Public / Pedestrian Areas,37.02,Medium,Heat exposure is elevated (median LST 43.82 °C; baseline score 75.8).
UC_17150_2465,11.005671729538536,77.03278140148723,43.34323406000004,47.70462758000002,0.2631184160709381,0.0352539494633674,74.13868005751306,High,Green Corridors / Connected Vegetation,32.33,Low,Connect vegetation where heat exposure (LST 43.34 °C) and vegetation level (NDVI 0.263) indicate cooling need.,Tree / Vegetation Cover,31.76,Low,High heat exposure (median LST 43.34 °C) combines with low vegetation (NDVI 0.263).,Shaded Public / Pedestrian Areas,29.5,Low,Heat exposure is elevated (median LST 43.34 °C; baseline score 74.1).
UC_17151_2465,11.00567172950484,77.0372729778174,41.79828902,47.16116240000002,0.3288025557994842,-0.0123791452497243,67.76204823393319,High,Green Corridors / Connected Vegetation,10.41,Low,Connect vegetation where heat exposure (LST 41.80 °C) and vegetation level (NDVI 0.329) indicate cooling need.,Tree / Vegetation Cover,8.51,Low,High heat exposure (median LST 41.80 °C) combines with low vegetation (NDVI 0.329).,Shaded Public / Pedestrian Areas,0.89,Low,Heat exposure is elevated (median LST 41.80 °C; baseline score 67.8).
UC_17152_2465,11.005671729506362,77.04176455436486,42.96212483000002,47.94730700000002,0.3227260410785675,0.0007312938105314,70.57499123205442,High,Green Corridors / Connected Vegetation,17.43,Low,Connect vegetation where heat exposure (LST 42.96 °C) and vegetation level (NDVI 0.323) indicate cooling need.,Tree / Vegetation Cover,16.64,Low,High heat exposure (median LST 42.96 °C) combines with low vegetation (NDVI 0.323).,Shaded Public / Pedestrian Areas,13.51,Low,Heat exposure is elevated (median LST 42.96 °C; baseline score 70.6).
UC_17153_2465,11.005671729505856,77.04625613064454,43.47311882,48.73003358000005,0.2799833714962005,0.02707633189857,73.62831195474038,High,Green Corridors / Connected Vegetation,29.23,Low,Connect vegetation where heat exposure (LST 43.47 °C) and vegetation level (NDVI 0.280) indicate cooling need.,Tree / Vegetation Cover,28.83,Low,High heat exposure (median LST 43.47 °C) combines with low vegetation (NDVI 0.280).,Shaded Public / Pedestrian Areas,27.21,Low,Heat exposure is elevated (median LST 43.47 °C; baseline score 73.6).
UC_17154_2465,11.005671729461488,77.05074770715149,43.48679090000002,47.78666006000003,0.2542176246643066,0.0400934591889381,74.81192711378233,High,Green Corridors / Connected Vegetation,34.87,Medium,Connect vegetation where heat exposure (LST 43.49 °C) and vegetation level (NDVI 0.254) indicate cooling need.,Tree / Vegetation Cover,34.4,Medium,High heat exposure (median LST 43.49 °C) combines with low vegetation (NDVI 0.254).,Shaded Public / Pedestrian Areas,32.52,Low,Heat exposure is elevated (median LST 43.49 °C; baseline score 74.8).
UC_17155_2465,11.00567172949644,77.05523928356475,41.18646344000001,47.40725984000005,0.3315133154392242,-0.0258295163512229,65.99809522226697,Medium,Green Corridors / Connected Vegetation,9.65,Low,NDVI 0.332 and baseline score 66.0 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,7.72,Low,"Vegetation is relatively low (NDVI 0.332), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.026; reflective roofs are a lower-priority option here.
UC_17156_2465,11.005671729529356,77.05973086006607,41.14202918000001,47.03127763999999,0.4007542729377746,-0.0411314480006694,63.69153461686159,Medium,Green Corridors / Connected Vegetation,1.63,Low,NDVI 0.401 and baseline score 63.7 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,1.3,Low,"Vegetation is relatively low (NDVI 0.401), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.041; reflective roofs are a lower-priority option here.
UC_17157_2465,11.005671729522964,77.06422243631633,42.83394908,47.49271034000003,0.3081655204296112,0.0057433396577835,70.89444858951735,High,Green Corridors / Connected Vegetation,19.83,Low,Connect vegetation where heat exposure (LST 42.83 °C) and vegetation level (NDVI 0.308) indicate cooling need.,Tree / Vegetation Cover,18.85,Low,High heat exposure (median LST 42.83 °C) combines with low vegetation (NDVI 0.308).,Shaded Public / Pedestrian Areas,14.95,Low,Heat exposure is elevated (median LST 42.83 °C; baseline score 70.9).
UC_17158_2465,11.00567172951908,77.06871401285251,43.33298000000002,49.03423736000002,0.331322968006134,0.0035755960270762,71.17744150586024,High,Green Corridors / Connected Vegetation,17.78,Low,Connect vegetation where heat exposure (LST 43.33 °C) and vegetation level (NDVI 0.331) indicate cooling need.,Tree / Vegetation Cover,17.47,Low,High heat exposure (median LST 43.33 °C) combines with low vegetation (NDVI 0.331).,Shaded Public / Pedestrian Areas,16.22,Low,Heat exposure is elevated (median LST 43.33 °C; baseline score 71.2).
UC_17159_2465,11.00567172948042,77.07320558921785,42.686974220000025,47.144072300000005,0.31209197640419,-0.0093669081106781,69.86200550417999,High,Green Corridors / Connected Vegetation,17.06,Low,Connect vegetation where heat exposure (LST 42.69 °C) and vegetation level (NDVI 0.312) indicate cooling need.,Tree / Vegetation Cover,15.71,Low,High heat exposure (median LST 42.69 °C) combines with low vegetation (NDVI 0.312).,Shaded Public / Pedestrian Areas,10.32,Low,Heat exposure is elevated (median LST 42.69 °C; baseline score 69.9).
UC_17160_2465,11.005671729486082,77.07769716570476,42.89205542000002,48.90435260000004,0.3566167950630188,-0.008975762873888,69.25933662977168,High,Green Corridors / Connected Vegetation,10.55,Low,Connect vegetation where heat exposure (LST 42.89 °C) and vegetation level (NDVI 0.357) indicate cooling need.,Tree / Vegetation Cover,9.96,Low,High heat exposure (median LST 42.89 °C) combines with low vegetation (NDVI 0.357).,Shaded Public / Pedestrian Areas,7.61,Low,Heat exposure is elevated (median LST 42.89 °C; baseline score 69.3).
UC_17161_2465,11.005671729533796,77.08218874204339,42.47163896000001,46.64162336000004,0.3800629079341888,-0.0248666182160377,67.26831058812695,Medium,Green Corridors / Connected Vegetation,4.03,Low,NDVI 0.380 and baseline score 67.3 support a lower-priority corridor opportunity.,Tree / Vegetation Cover,3.22,Low,"Vegetation is relatively low (NDVI 0.380), so additional tree or vegetation cover is prioritized.",Cool / Reflective Roofs,0.0,Low,NDBI is -0.025; reflective roofs are a lower-priority option here.
UC_17162_2465,11.005671729549004,77.0866803185062,41.64789614,47.60208698000002,0.41978719830513,-0.0289676040410995,64.72498924475353,Medium,Tree / Vegetation Cover,0.0,Low,NDVI is 0.420; vegetation cover remains a lower-priority cooling opportunity relative to other interventions.,Cool / Reflective Roofs,0.0,Low,NDBI is -0.029; reflective roofs are a lower-priority option here.,Shaded Public / Pedestrian Areas,0.0,Low,Median LST is 41.65 °C and baseline score is 64.7; targeted shade is a lower-priority option.
